"","Name","Publisher","Developer","Puntajes Cr?ticos","n? criticas criticos","Puntajes usuarios","n? cr?ticas usuarios"
"83","Big Brain Academy","Nintendo","Nintendo","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"84","Red Dead Redemption","Take-Two Interactive","Rockstar San Diego","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios muy alto","n? cr?ticas usuarios bajo"
"85","FIFA 14","Electronic Arts","EA Canada","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios intermedio","n? cr?ticas usuarios muy bajo"
"86","Assassin's Creed III","Ubisoft","Ubisoft","Puntajes Cr?ticos muy alto","n? criticas criticos bajo","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
"87","Donkey Kong Country Returns","Nintendo","Retro Studios","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"88","Halo: Combat Evolved","Microsoft Game Studios","Bungie Software","Puntajes Cr?ticos muy alto","n? criticas criticos alto","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"89","The Elder Scrolls V: Skyrim","Bethesda Softworks","Bethesda Game Studios","Puntajes Cr?ticos muy alto","n? criticas criticos muy bajo","Puntajes usuarios alto","n? cr?ticas usuarios bajo"
"90","Pokémon Emerald Version","Nintendo","Game Freak","Puntajes Cr?ticos alto","n? criticas criticos bajo","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"91","Kingdom Hearts","Sony Computer Entertainment","SquareSoft","Puntajes Cr?ticos muy alto","n? criticas criticos intermedio","Puntajes usuarios muy alto","n? cr?ticas usuarios muy bajo"
"92","Halo 3: ODST","Microsoft Game Studios","Bungie Software, Bungie","Puntajes Cr?ticos muy alto","n? criticas criticos muy alto","Puntajes usuarios alto","n? cr?ticas usuarios muy bajo"
