"","Platform","Genre","Publisher","Global_Sales","Critic_Score","Rating","Is_Fiasco"
"293","PS2","Platform","Activision",1.86,71,"E",FALSE
"294","PS2","Sports","Electronic Arts",1.86,70,"E",FALSE
"295","PS2","Platform","Sony Computer Entertainment",1.85,84,"T",FALSE
"296","PS3","Shooter","Take-Two Interactive",1.85,87,"M",FALSE
"297","PS2","Sports","Electronic Arts",1.84,87,"E",FALSE
"298","PS3","Action","Sony Computer Entertainment",1.82,83,"T",FALSE
"299","PC","Role-Playing","Activision",1.82,82,"T",TRUE
"300","PS2","Misc","Namco Bandai Games",1.82,72,"E",FALSE
"301","PC","Simulation","Electronic Arts",1.82,85,"T",FALSE
"302","PS3","Role-Playing","Namco Bandai Games",1.82,89,"M",FALSE
"303","X360","Shooter","Electronic Arts",1.82,96,"M",FALSE
"304","PS2","Simulation","Konami Digital Entertainment",1.81,82,"E",FALSE
"305","PS2","Fighting","Sega",1.81,94,"T",FALSE
"306","PS2","Platform","Sony Computer Entertainment",1.81,88,"E",FALSE
"307","X360","Sports","Electronic Arts",1.8,80,"E",FALSE
"308","PS3","Action","Take-Two Interactive",1.8,89,"E",FALSE
"309","PS2","Racing","Take-Two Interactive",1.78,85,"T",FALSE
"310","PS2","Action","Sony Computer Entertainment",1.78,57,"M",FALSE
"311","XB","Fighting","Microsoft Game Studios",1.77,87,"T",FALSE
"312","PS3","Fighting","THQ",1.76,84,"T",FALSE
"313","PS2","Platform","THQ",1.76,75,"E",FALSE
"314","PS2","Fighting","Electronic Arts",1.76,83,"M",FALSE
"315","XB","Shooter","Ubisoft",1.76,84,"M",TRUE
"316","PS2","Action","Take-Two Interactive",1.76,71,"M",FALSE
"317","PS2","Simulation","Electronic Arts",1.76,70,"T",FALSE
"318","PS2","Simulation","Activision",1.76,84,"T",FALSE
"319","XB","Shooter","Activision",1.75,80,"T",FALSE
"320","PS3","Sports","Electronic Arts",1.75,81,"E",FALSE
"321","X360","Shooter","Microsoft Game Studios",1.75,83,"M",FALSE
"322","PS2","Simulation","Konami Digital Entertainment",1.75,55,"E10+",FALSE
"323","PS2","Role-Playing","Namco Bandai Games",1.74,83,"T",FALSE
"324","X360","Action","Microsoft Game Studios",1.74,55,"T",FALSE
"325","PS2","Sports","Electronic Arts",1.73,92,"E",FALSE
"326","XB","Sports","Electronic Arts",1.72,91,"E",FALSE
"327","PS2","Role-Playing","Ubisoft",1.72,80,"T",FALSE
"328","PC","Shooter","Activision",1.72,78,"M",TRUE
"329","XB","Racing","Electronic Arts",1.71,83,"E",FALSE
"330","PS2","Sports","Electronic Arts",1.7,87,"E",FALSE
"331","PC","Simulation","Electronic Arts",1.7,74,"T",TRUE
"332","PS2","Shooter","Sony Computer Entertainment",1.69,82,"M",FALSE
"333","PS3","Shooter","Take-Two Interactive",1.69,94,"M",FALSE
"334","X360","Racing","Electronic Arts",1.68,64,"T",FALSE
"335","PS3","Action","THQ",1.68,82,"M",FALSE
"336","PC","Strategy","Take-Two Interactive",1.68,90,"E10+",FALSE
"337","PC","Simulation","Electronic Arts",1.68,79,"T",FALSE
"338","PS2","Sports","Electronic Arts",1.67,93,"E",FALSE
"339","XB","Shooter","Activision",1.67,83,"T",FALSE
"340","PS3","Role-Playing","Electronic Arts",1.67,87,"M",FALSE
"341","PS2","Sports","Electronic Arts",1.67,94,"E",FALSE
"342","PS3","Fighting","Electronic Arts",1.67,83,"T",FALSE
"343","PC","Strategy","Activision",1.67,86,"T",FALSE
"344","PS2","Platform","THQ",1.67,71,"E",FALSE
"345","PS2","Sports","Electronic Arts",1.66,93,"E",FALSE
"346","PS2","Sports","Electronic Arts",1.66,83,"E",FALSE
"347","X360","Racing","Electronic Arts",1.65,77,"E10+",FALSE
"348","PS3","Action","Sony Computer Entertainment",1.65,79,"T",FALSE
"349","X360","Shooter","Electronic Arts",1.64,72,"M",FALSE
"350","PS2","Sports","Electronic Arts",1.64,88,"E",FALSE
"351","PS2","Action","Ubisoft",1.64,83,"M",FALSE
"352","XB","Sports","Sega",1.63,92,"E",FALSE
"353","PS3","Adventure","Sony Computer Entertainment",1.63,70,"M",FALSE
"354","PS2","Sports","Electronic Arts",1.63,89,"E",FALSE
"355","PC","Shooter","Activision",1.63,81,"M",TRUE
"356","PS2","Sports","Electronic Arts",1.62,88,"E",FALSE
"357","X360","Shooter","Take-Two Interactive",1.62,86,"M",FALSE
"358","X360","Simulation","Microsoft Game Studios",1.62,84,"E",FALSE
"359","X360","Simulation","Microsoft Game Studios",1.62,74,"E",TRUE
"360","PS3","Misc","Electronic Arts",1.62,92,"T",FALSE
"361","PS2","Sports","Electronic Arts",1.61,77,"E",FALSE
"362","PC","Role-Playing","Activision",1.59,94,"M",FALSE
"363","X360","Action","Ubisoft",1.59,85,"M",FALSE
"364","PS3","Sports","Konami Digital Entertainment",1.59,74,"E",FALSE
"365","X360","Fighting","Ubisoft",1.58,85,"T",FALSE
"366","PS3","Platform","Sega",1.58,76,"E",FALSE
"367","PS2","Sports","Electronic Arts",1.57,90,"E",FALSE
"368","X360","Shooter","Microsoft Game Studios",1.57,79,"M",TRUE
"369","PS2","Racing","Take-Two Interactive",1.56,79,"T",FALSE
"370","PS2","Fighting","Electronic Arts",1.56,84,"T",FALSE
"371","X360","Racing","Electronic Arts",1.56,83,"T",FALSE
"372","XB","Shooter","Ubisoft",1.55,86,"M",FALSE
"373","X360","Action","Take-Two Interactive",1.55,74,"M",FALSE
"374","PS3","Shooter","Take-Two Interactive",1.54,88,"M",FALSE
"375","PS2","Role-Playing","Sony Computer Entertainment",1.54,80,"T",FALSE
"376","PC","Strategy","Activision",1.54,88,"T",FALSE
"377","X360","Shooter","Ubisoft",1.54,90,"T",FALSE
"378","PS2","Sports","Electronic Arts",1.54,87,"E",FALSE
"379","PS3","Sports","Konami Digital Entertainment",1.53,82,"E",FALSE
"380","PC","Shooter","Activision",1.53,74,"M",TRUE
"381","PS2","Sports","Electronic Arts",1.52,38,"T",FALSE
"382","PS3","Fighting","Electronic Arts",1.52,88,"T",FALSE
"383","PS2","Action","Namco Bandai Games",1.51,73,"E",FALSE
"384","X360","Shooter","Electronic Arts",1.51,90,"M",FALSE
"385","PS2","Action","Electronic Arts",1.51,68,"T",FALSE
"386","PC","Sports","Sega",1.51,84,"E",FALSE
"387","PS3","Role-Playing","Namco Bandai Games",1.51,85,"E10+",FALSE
"388","PS3","Shooter","Activision",1.5,80,"T",FALSE
"389","PS2","Shooter","THQ",1.5,84,"M",FALSE
"390","PS2","Sports","Electronic Arts",1.5,91,"E",FALSE
"391","XB","Shooter","Electronic Arts",1.49,81,"T",FALSE
"392","PS2","Sports","Electronic Arts",1.49,67,"E",FALSE
"393","PS3","Action","Take-Two Interactive",1.49,75,"M",FALSE
"394","PS3","Shooter","Sony Computer Entertainment",1.48,83,"M",FALSE
"395","X360","Action","Activision",1.48,65,"T",FALSE
"396","PS2","Sports","Take-Two Interactive",1.48,82,"E",FALSE
"397","PS2","Fighting","Electronic Arts",1.48,85,"T",FALSE
"398","XB","Action","Ubisoft",1.48,93,"T",FALSE
"399","X360","Shooter","Ubisoft",1.47,79,"M",FALSE
"400","X360","Fighting","Electronic Arts",1.47,86,"T",FALSE
"401","PS3","Fighting","Ubisoft",1.46,85,"T",FALSE
"402","X360","Shooter","Electronic Arts",1.46,83,"T",FALSE
"403","X360","Shooter","THQ",1.45,70,"M",FALSE
"404","PS2","Shooter","Take-Two Interactive",1.45,73,"M",FALSE
"405","PS3","Role-Playing","Electronic Arts",1.45,94,"M",FALSE
